ID,Number of words in title,American name?,View count
0,6,0,404000,
1,8,1,214000,
2,9,1,412000,
3,9,1,427000,
4,10,0,2400,
5,13,0,422000,
6,6,0,412000,
7,8,1,455000,
8,8,1,66000,
9,7,1,584000,
10,8,1,87000,
11,11,1,213000,
12,10,1,622000,
13,9,1,526000,
14,7,1,23000,
15,9,0,628000,
16,7,0,459000,
17,5,1,522000,
18,8,1,96000,
19,7,1,4500,
20,2,1,1600,
21,11,0,667000,
22,8,1,456000,
23,10,1,632000,
24,7,0,97000,
25,12,1,609000,
26,9,1,363000,
27,6,1,649000,
28,5,1,134000,
29,11,1,613000,
30,6,1,817000,
31,4,1,411000,
32,7,0,700000,
33,12,0,678000,
34,8,0,30000,
35,6,1,743000,
36,7,0,669000,
37,8,0,766000,
38,10,1,789000,
39,6,1,800000,
40,7,1,601000,
41,8,1,732000,
42,11,1,751000,
43,8,0,998000,
44,2,1,786000,
45,9,1,1000000,
46,9,1,20000,
47,6,1,2300000,
48,6,1,1000000,
49,5,0,10000,
50,7,1,880000,
51,8,0,1500000,
52,5,1,19000,
53,9,0,825000,
54,8,0,90000,
55,12,1,888000,
56,2,1,839000,
57,6,0,951000,
58,6,0,761000,
59,13,1,992000,
60,8,1,861000,
61,2,0,11000,
62,7,1,1100000,
63,5,1,864000,
64,11,1,1100000,
65,8,1,11000,
66,1,1,724000,
67,10,1,295000,
68,9,1,1300000,
69,6,1,1100000,
70,3,0,969000,
71,9,0,1000000,
72,8,1,986000,
73,7,1,837000,
74,6,1,527000,
75,1,1,1000000,
76,11,1,1000000,
77,12,1,311000,
78,9,1,1200000,
79,9,0,1000000,
80,5,1,3800,
81,9,1,1100000,
82,11,1,1000000,
83,8,0,1000000,
84,6,1,1000000,
85,11,0,981000,
86,6,0,200000,
87,2,1,2500,
88,14,0,4900,
89,9,1,1100000,
90,12,1,635000,
91,8,1,1000000,
92,9,1,4000,
93,14,1,1000000,
94,11,0,1100000,
95,9,1,315000,
96,1,0,714000,
97,11,1,1200000,
98,10,1,1200000,
99,9,1,1000000,
100,8,0,1400000,
101,5,1,1400000,
102,5,1,475000,
103,6,1,1300000,
104,12,1,422000,
105,8,0,315000,
106,9,1,277000,
107,10,0,1200000,
108,6,1,357000,
109,3,1,260000,
110,12,1,331000,
111,7,1,543000,
112,10,0,1000000,
113,6,1,237000,
114,8,1,1200000,
115,5,1,1200000,
116,8,1,441000,
117,11,0,7100,
118,6,0,1300000,
119,10,1,463000,
120,9,1,1200000,
121,7,1,1200000,
122,6,1,485000,
123,5,1,6200,
124,4,1,3000,
125,7,1,340000,
126,7,0,1200000,
127,5,1,227000,
128,10,0,1900000,
129,11,1,1300000,
130,11,1,1300000,
131,9,0,860000,
132,2,1,1200000,
133,7,0,205000,
134,8,1,1000000,
135,10,0,1000000,
136,14,0,1000000,
137,7,0,221000,
138,6,0,1500000,
139,8,1,463000,
140,7,1,406000,
141,11,1,1200000,
142,7,1,276000,
143,2,1,1300000,
144,7,1,1200000,
145,6,0,1400000,
146,4,1,475000,
147,10,1,1300000,
148,12,0,1400000,
149,7,1,368000,
150,9,1,1500000,
151,7,1,486000,
152,9,1,355000,
153,9,1,1400000,
154,3,0,256000,
155,4,0,6100000,
156,4,0,269000,
157,6,0,1100000,
158,8,1,1300000,
159,8,0,1500000,
160,12,1,1400000,
161,10,0,1500000,
162,6,1,1200000,
163,9,0,1300000,
164,4,0,5300,
165,7,1,367000,
166,7,0,1300000,
167,10,1,154000,
168,5,0,28000,
169,4,0,1100000,
170,7,1,1100000,
171,12,1,1400000,
172,9,1,1200000,
173,4,1,414000,
174,6,1,1400000,
175,6,1,286000,
176,8,1,1400000,
177,7,1,578000,
178,9,0,1700000,
179,10,1,310000,
180,4,0,132000,
181,9,1,2800000,
182,5,0,1100000,
183,7,0,1000000,
184,8,0,1500000,
185,3,0,62000,
186,5,1,310000,
187,10,1,1300000,
188,7,0,1700000,
189,6,1,1300000,
190,5,0,1500000,
191,12,1,1600000,
192,10,1,498000,
193,3,0,6000,
194,7,1,1500000,
195,8,1,1800000,
196,8,1,732000,
197,7,1,1400000,
198,5,0,1700000,
199,12,1,1500000,
200,9,0,1700000,
201,10,1,1700000,
202,7,1,1400000,
203,4,1,298000,
204,12,1,1700000,
205,6,0,1500000,
206,11,1,1500000,
207,5,0,842000,
208,6,1,2600000,
209,11,0,1800000,
210,10,1,735000,
211,5,1,2000000,
212,7,1,1500000,
213,8,0,1100000,
214,6,1,1600000,
215,11,1,1600000,
216,9,1,1800000,
217,12,1,2100000,
218,8,1,2000000,
219,5,1,1600000,
220,8,1,1700000,
221,4,1,583000,
222,7,1,1500000,
223,8,1,1800000,
224,6,1,655000,
225,6,1,1700000,
226,7,0,1800000,
